improve 0.2.3.0.1 at Shape(x=250, y=300, w=50, h=50) depth 4
improve 0.3.0.1.0 at Shape(x=0, y=250, w=50, h=25) depth 4
improve 0.3.0.1.1 at Shape(x=50, y=250, w=50, h=25) depth 4
improve 0.3.0.1.2 at Shape(x=50, y=275, w=50, h=25) depth 4
improve 0.3.0.1.3 at Shape(x=0, y=275, w=50, h=25) depth 4
improve 0.3.0.0 at Shape(x=0, y=200, w=50, h=50) depth 3
improve 0.3.0.1 at Shape(x=50, y=200, w=50, h=50) depth 3
improve 0.3.0.2 at Shape(x=50, y=250, w=50, h=50) depth 3
improve 0.3.0.2.0 at Shape(x=50, y=250, w=25, h=50) depth 4
improve 0.3.0.2.1 at Shape(x=75, y=250, w=25, h=50) depth 4
improve 0.3.0.2.0 at Shape(x=50, y=250, w=50, h=25) depth 4
improve 0.3.0.2.1 at Shape(x=50, y=275, w=50, h=25) depth 4
improve 0.3.0.2.0 at Shape(x=50, y=250, w=25, h=25) depth 4
improve 0.3.0.2.1 at Shape(x=75, y=250, w=25, h=25) depth 4
improve 0.3.0.2.2 at Shape(x=75, y=275, w=25, h=25) depth 4
improve 0.3.0.2.3 at Shape(x=50, y=275, w=25, h=25) depth 4
improve 0.3.0.3 at Shape(x=0, y=250, w=50, h=50) depth 3
improve 0.3.1 at Shape(x=100, y=200, w=100, h=100) depth 2
improve 0.3.1.0 at Shape(x=100, y=200, w=50, h=100) depth 3
improve 0.3.1.0.0 at Shape(x=100, y=200, w=25, h=100) depth 4
improve 0.3.1.0.1 at Shape(x=125, y=200, w=25, h=100) depth 4
improve 0.3.1.0.0 at Shape(x=100, y=200, w=50, h=50) depth 4
improve 0.3.1.0.1 at Shape(x=100, y=250, w=50, h=50) depth 4
improve 0.3.1.0.0 at Shape(x=100, y=200, w=25, h=50) depth 4
improve 0.3.1.0.1 at Shape(x=125, y=200, w=25, h=50) depth 4
improve 0.3.1.0.2 at Shape(x=125, y=250, w=25, h=50) depth 4
improve 0.3.1.0.3 at Shape(x=100, y=250, w=25, h=50) depth 4
improve 0.3.1.1 at Shape(x=150, y=200, w=50, h=100) depth 3
improve 0.3.1.1.0 at Shape(x=150, y=200, w=25, h=100) depth 4
improve 0.3.1.1.1 at Shape(x=175, y=200, w=25, h=100) depth 4
improve 0.3.1.1.0 at Shape(x=150, y=200, w=50, h=50) depth 4
improve 0.3.1.1.1 at Shape(x=150, y=250, w=50, h=50) depth 4
improve 0.3.1.1.0 at Shape(x=150, y=200, w=25, h=50) depth 4
improve 0.3.1.1.1 at Shape(x=175, y=200, w=25, h=50) depth 4
improve 0.3.1.1.2 at Shape(x=175, y=250, w=25, h=50) depth 4
improve 0.3.1.1.3 at Shape(x=150, y=250, w=25, h=50) depth 4
improve 0.3.1.0 at Shape(x=100, y=200, w=100, h=50) depth 3
improve 0.3.1.0.0 at Shape(x=100, y=200, w=50, h=50) depth 4
improve 0.3.1.0.1 at Shape(x=150, y=200, w=50, h=50) depth 4
improve 0.3.1.0.0 at Shape(x=100, y=200, w=100, h=25) depth 4
improve 0.3.1.0.1 at Shape(x=100, y=225, w=100, h=25) depth 4
improve 0.3.1.0.0 at Shape(x=100, y=200, w=50, h=25) depth 4
improve 0.3.1.0.1 at Shape(x=150, y=200, w=50, h=25) depth 4
improve 0.3.1.0.2 at Shape(x=150, y=225, w=50, h=25) depth 4
improve 0.3.1.0.3 at Shape(x=100, y=225, w=50, h=25) depth 4
improve 0.3.1.1 at Shape(x=100, y=250, w=100, h=50) depth 3
improve 0.3.1.1.0 at Shape(x=100, y=250, w=50, h=50) depth 4
improve 0.3.1.1.1 at Shape(x=150, y=250, w=50, h=50) depth 4
improve 0.3.1.1.0 at Shape(x=100, y=250, w=100, h=25) depth 4
improve 0.3.1.1.1 at Shape(x=100, y=275, w=100, h=25) depth 4
improve 0.3.1.1.0 at Shape(x=100, y=250, w=50, h=25) depth 4
improve 0.3.1.1.1 at Shape(x=150, y=250, w=50, h=25) depth 4
improve 0.3.1.1.2 at Shape(x=150, y=275, w=50, h=25) depth 4
improve 0.3.1.1.3 at Shape(x=100, y=275, w=50, h=25) depth 4
improve 0.3.1.0 at Shape(x=100, y=200, w=50, h=50) depth 3
improve 0.3.1.1 at Shape(x=150, y=200, w=50, h=50) depth 3
improve 0.3.1.2 at Shape(x=150, y=250, w=50, h=50) depth 3
improve 0.3.1.3 at Shape(x=100, y=250, w=50, h=50) depth 3
improve 0.3.2 at Shape(x=100, y=300, w=100, h=100) depth 2
improve 0.3.2.0 at Shape(x=100, y=300, w=50, h=100) depth 3
improve 0.3.2.0.0 at Shape(x=100, y=300, w=25, h=100) depth 4
improve 0.3.2.0.1 at Shape(x=125, y=300, w=25, h=100) depth 4
improve 0.3.2.0.0 at Shape(x=100, y=300, w=50, h=50) depth 4
improve 0.3.2.0.1 at Shape(x=100, y=350, w=50, h=50) depth 4
improve 0.3.2.0.0 at Shape(x=100, y=300, w=25, h=50) depth 4
improve 0.3.2.0.1 at Shape(x=125, y=300, w=25, h=50) depth 4
improve 0.3.2.0.2 at Shape(x=125, y=350, w=25, h=50) depth 4
improve 0.3.2.0.3 at Shape(x=100, y=350, w=25, h=50) depth 4
improve 0.3.2.1 at Shape(x=150, y=300, w=50, h=100) depth 3
improve 0.3.2.1.0 at Shape(x=150, y=300, w=25, h=100) depth 4
improve 0.3.2.1.1 at Shape(x=175, y=300, w=25, h=100) depth 4
improve 0.3.2.1.0 at Shape(x=150, y=300, w=50, h=50) depth 4
improve 0.3.2.1.1 at Shape(x=150, y=350, w=50, h=50) depth 4
improve 0.3.2.1.0 at Shape(x=150, y=300, w=25, h=50) depth 4
improve 0.3.2.1.1 at Shape(x=175, y=300, w=25, h=50) depth 4
improve 0.3.2.1.2 at Shape(x=175, y=350, w=25, h=50) depth 4
improve 0.3.2.1.3 at Shape(x=150, y=350, w=25, h=50) depth 4
improve 0.3.2.0 at Shape(x=100, y=300, w=100, h=50) depth 3
improve 0.3.2.0.0 at Shape(x=100, y=300, w=50, h=50) depth 4
improve 0.3.2.0.1 at Shape(x=150, y=300, w=50, h=50) depth 4
improve 0.3.2.0.0 at Shape(x=100, y=300, w=100, h=25) depth 4
improve 0.3.2.0.1 at Shape(x=100, y=325, w=100, h=25) depth 4
improve 0.3.2.0.0 at Shape(x=100, y=300, w=50, h=25) depth 4
improve 0.3.2.0.1 at Shape(x=150, y=300, w=50, h=25) depth 4
improve 0.3.2.0.2 at Shape(x=150, y=325, w=50, h=25) depth 4
improve 0.3.2.0.3 at Shape(x=100, y=325, w=50, h=25) depth 4
improve 0.3.2.1 at Shape(x=100, y=350, w=100, h=50) depth 3
improve 0.3.2.1.0 at Shape(x=100, y=350, w=50, h=50) depth 4
improve 0.3.2.1.1 at Shape(x=150, y=350, w=50, h=50) depth 4
improve 0.3.2.1.0 at Shape(x=100, y=350, w=100, h=25) depth 4
improve 0.3.2.1.1 at Shape(x=100, y=375, w=100, h=25) depth 4
improve 0.3.2.1.0 at Shape(x=100, y=350, w=50, h=25) depth 4
improve 0.3.2.1.1 at Shape(x=150, y=350, w=50, h=25) depth 4
improve 0.3.2.1.2 at Shape(x=150, y=375, w=50, h=25) depth 4
improve 0.3.2.1.3 at Shape(x=100, y=375, w=50, h=25) depth 4
improve 0.3.2.0 at Shape(x=100, y=300, w=50, h=50) depth 3
improve 0.3.2.1 at Shape(x=150, y=300, w=50, h=50) depth 3
improve 0.3.2.2 at Shape(x=150, y=350, w=50, h=50) depth 3
improve 0.3.2.2.0 at Shape(x=150, y=350, w=25, h=50) depth 4
improve 0.3.2.2.1 at Shape(x=175, y=350, w=25, h=50) depth 4
improve 0.3.2.2.0 at Shape(x=150, y=350, w=50, h=25) depth 4
improve 0.3.2.2.1 at Shape(x=150, y=375, w=50, h=25) depth 4
improve 0.3.2.2.0 at Shape(x=150, y=350, w=25, h=25) depth 4
improve 0.3.2.2.1 at Shape(x=175, y=350, w=25, h=25) depth 4
improve 0.3.2.2.2 at Shape(x=175, y=375, w=25, h=25) depth 4
improve 0.3.2.2.3 at Shape(x=150, y=375, w=25, h=25) depth 4
improve 0.3.2.3 at Shape(x=100, y=350, w=50, h=50) depth 3
improve 0.3.3 at Shape(x=0, y=300, w=100, h=100) depth 2
improve 0.3.3.0 at Shape(x=0, y=300, w=50, h=100) depth 3
improve 0.3.3.0.0 at Shape(x=0, y=300, w=25, h=100) depth 4
improve 0.3.3.0.1 at Shape(x=25, y=300, w=25, h=100) depth 4
improve 0.3.3.0.0 at Shape(x=0, y=300, w=50, h=50) depth 4
improve 0.3.3.0.1 at Shape(x=0, y=350, w=50, h=50) depth 4
improve 0.3.3.0.0 at Shape(x=0, y=300, w=25, h=50) depth 4
improve 0.3.3.0.1 at Shape(x=25, y=300, w=25, h=50) depth 4
improve 0.3.3.0.2 at Shape(x=25, y=350, w=25, h=50) depth 4
improve 0.3.3.0.3 at Shape(x=0, y=350, w=25, h=50) depth 4
improve 0.3.3.1 at Shape(x=50, y=300, w=50, h=100) depth 3
improve 0.3.3.1.0 at Shape(x=50, y=300, w=25, h=100) depth 4
improve 0.3.3.1.1 at Shape(x=75, y=300, w=25, h=100) depth 4
improve 0.3.3.1.0 at Shape(x=50, y=300, w=50, h=50) depth 4
improve 0.3.3.1.1 at Shape(x=50, y=350, w=50, h=50) depth 4
improve 0.3.3.1.0 at Shape(x=50, y=300, w=25, h=50) depth 4
improve 0.3.3.1.1 at Shape(x=75, y=300, w=25, h=50) depth 4
improve 0.3.3.1.2 at Shape(x=75, y=350, w=25, h=50) depth 4
improve 0.3.3.1.3 at Shape(x=50, y=350, w=25, h=50) depth 4
improve 0.3.3.0 at Shape(x=0, y=300, w=100, h=50) depth 3
improve 0.3.3.0.0 at Shape(x=0, y=300, w=50, h=50) depth 4
improve 0.3.3.0.1 at Shape(x=50, y=300, w=50, h=50) depth 4
improve 0.3.3.0.0 at Shape(x=0, y=300, w=100, h=25) depth 4
improve 0.3.3.0.1 at Shape(x=0, y=325, w=100, h=25) depth 4
improve 0.3.3.0.0 at Shape(x=0, y=300, w=50, h=25) depth 4
improve 0.3.3.0.1 at Shape(x=50, y=300, w=50, h=25) depth 4
improve 0.3.3.0.2 at Shape(x=50, y=325, w=50, h=25) depth 4
improve 0.3.3.0.3 at Shape(x=0, y=325, w=50, h=25) depth 4
improve 0.3.3.1 at Shape(x=0, y=350, w=100, h=50) depth 3
improve 0.3.3.1.0 at Shape(x=0, y=350, w=50, h=50) depth 4
improve 0.3.3.1.1 at Shape(x=50, y=350, w=50, h=50) depth 4
improve 0.3.3.1.0 at Shape(x=0, y=350, w=100, h=25) depth 4
improve 0.3.3.1.1 at Shape(x=0, y=375, w=100, h=25) depth 4
improve 0.3.3.1.0 at Shape(x=0, y=350, w=50, h=25) depth 4
improve 0.3.3.1.1 at Shape(x=50, y=350, w=50, h=25) depth 4
improve 0.3.3.1.2 at Shape(x=50, y=375, w=50, h=25) depth 4
improve 0.3.3.1.3 at Shape(x=0, y=375, w=50, h=25) depth 4
improve 0.3.3.0 at Shape(x=0, y=300, w=50, h=50) depth 3
improve 0.3.3.1 at Shape(x=50, y=300, w=50, h=50) depth 3
improve 0.3.3.1.0 at Shape(x=50, y=300, w=25, h=50) depth 4
improve 0.3.3.1.1 at Shape(x=75, y=300, w=25, h=50) depth 4
improve 0.3.3.1.0 at Shape(x=50, y=300, w=50, h=25) depth 4
improve 0.3.3.1.1 at Shape(x=50, y=325, w=50, h=25) depth 4
improve 0.3.3.1.0 at Shape(x=50, y=300, w=25, h=25) depth 4
improve 0.3.3.1.1 at Shape(x=75, y=300, w=25, h=25) depth 4
improve 0.3.3.1.2 at Shape(x=75, y=325, w=25, h=25) depth 4
improve 0.3.3.1.3 at Shape(x=50, y=325, w=25, h=25) depth 4
improve 0.3.3.2 at Shape(x=50, y=350, w=50, h=50) depth 3
improve 0.3.3.3 at Shape(x=0, y=350, w=50, h=50) depth 3
improve 0.3.3.3.0 at Shape(x=0, y=350, w=25, h=50) depth 4
improve 0.3.3.3.1 at Shape(x=25, y=350, w=25, h=50) depth 4
improve 0.3.3.3.0 at Shape(x=0, y=350, w=50, h=25) depth 4
improve 0.3.3.3.1 at Shape(x=0, y=375, w=50, h=25) depth 4
improve 0.3.3.3.0 at Shape(x=0, y=350, w=25, h=25) depth 4
improve 0.3.3.3.1 at Shape(x=25, y=350, w=25, h=25) depth 4
improve 0.3.3.3.2 at Shape(x=25, y=375, w=25, h=25) depth 4
improve 0.3.3.3.3 at Shape(x=0, y=375, w=25, h=25) depth 4
0.3 options = [Option(cmds=[], score=50660.96965635352), Option(cmds=['color [0.3] [84, 110, 152, 255]'], score=13842.132712540071), Option(cmds=['cut [0.3] [x] [100]', 'cut [0.3.0] [y] [300]', 'cut [0.3.0.0] [x] [50]', 'color [0.3.0.0.0] [117, 147, 174, 255]', 'color [0.3.0.0.1] [47, 55, 53, 255]', 'color [0.3.0.1] [63, 85, 145, 255]', 'cut [0.3.1] [y] [300]', 'color [0.3.1.0] [98, 130, 166, 255]', 'color [0.3.1.1] [78, 103, 151, 255]'], score=12642.40528406165), Option(cmds=['cut [0.3] [y] [300]', 'cut [0.3.0] [x] [100]', 'cut [0.3.0.0] [x] [50]', 'color [0.3.0.0.0] [117, 147, 174, 255]', 'color [0.3.0.0.1] [47, 55, 53, 255]', 'color [0.3.0.1] [98, 130, 166, 255]', 'color [0.3.1] [69, 92, 147, 255]'], score=12560.310357248265), Option(cmds=['cut [0.3] [100, 300]', 'cut [0.3.0] [x] [50]', 'color [0.3.0.0] [117, 147, 174, 255]', 'color [0.3.0.1] [47, 55, 53, 255]', 'color [0.3.1] [98, 130, 166, 255]', 'color [0.3.2] [78, 103, 151, 255]', 'color [0.3.3] [63, 85, 145, 255]'], score=12542.40528406165)]
0.3 best option = Option(cmds=['cut [0.3] [100, 300]', 'cut [0.3.0] [x] [50]', 'color [0.3.0.0] [117, 147, 174, 255]', 'color [0.3.0.1] [47, 55, 53, 255]', 'color [0.3.1] [98, 130, 166, 255]', 'color [0.3.2] [78, 103, 151, 255]', 'color [0.3.3] [63, 85, 145, 255]'], score=12542.40528406165)
0 options = [Option(cmds=[], score=218612.80745928525), Option(cmds=['color [0] [76, 100, 136, 255]'], score=62486.24748615849), Option(cmds=['cut [0] [x] [200]', 'cut [0.0] [100, 200]', 'cut [0.0.0] [x] [50]', 'cut [0.0.0.0] [y] [100]', 'color [0.0.0.0.0] [48, 58, 65, 255]', 'color [0.0.0.0.1] [99, 132, 164, 255]', 'color [0.0.0.1] [30, 35, 32, 255]', 'cut [0.0.1] [y] [100]', 'color [0.0.1.0] [29, 34, 31, 255]', 'cut [0.0.1.1] [y] [150]', 'color [0.0.1.1.0] [74, 95, 114, 255]', 'color [0.0.1.1.1] [150, 168, 169, 255]', 'cut [0.0.2] [y] [300]', 'color [0.0.2.0] [98, 130, 166, 255]', 'color [0.0.2.1] [78, 103, 151, 255]', 'cut [0.0.3] [y] [300]', 'cut [0.0.3.0] [x] [50]', 'color [0.0.3.0.0] [117, 147, 174, 255]', 'color [0.0.3.0.1] [47, 55, 53, 255]', 'color [0.0.3.1] [63, 85, 145, 255]', 'cut [0.1] [y] [200]', 'cut [0.1.0] [y] [100]', 'cut [0.1.0.0] [y] [50]', 'color [0.1.0.0.0] [43, 51, 57, 255]', 'color [0.1.0.0.1] [54, 73, 95, 255]', 'cut [0.1.0.1] [y] [150]', 'color [0.1.0.1.0] [67, 90, 133, 255]', 'color [0.1.0.1.1] [108, 140, 165, 255]', 'cut [0.1.1] [y] [300]', 'color [0.1.1.0] [94, 126, 169, 255]', 'cut [0.1.1.1] [y] [350]', 'color [0.1.1.1.0] [91, 118, 161, 255]', 'color [0.1.1.1.1] [69, 90, 146, 255]'], score=43007.33683823822), Option(cmds=['cut [0] [y] [200]', 'cut [0.0] [200, 100]', 'color [0.0.0] [32, 38, 35, 255]', 'cut [0.0.1] [y] [50]', 'color [0.0.1.0] [43, 51, 57, 255]', 'color [0.0.1.1] [54, 73, 95, 255]', 'cut [0.0.2] [y] [150]', 'color [0.0.2.0] [67, 90, 133, 255]', 'color [0.0.2.1] [108, 140, 165, 255]', 'cut [0.0.3] [x] [100]', 'cut [0.0.3.0] [x] [50]', 'color [0.0.3.0.0] [99, 132, 164, 255]', 'color [0.0.3.0.1] [29, 35, 32, 255]', 'cut [0.0.3.1] [y] [150]', 'color [0.0.3.1.0] [74, 95, 114, 255]', 'color [0.0.3.1.1] [150, 168, 169, 255]', 'cut [0.1] [200, 300]', 'cut [0.1.0] [x] [100]', 'cut [0.1.0.0] [x] [50]', 'color [0.1.0.0.0] [117, 147, 174, 255]', 'color [0.1.0.0.1] [47, 55, 53, 255]', 'color [0.1.0.1] [98, 130, 166, 255]', 'color [0.1.1] [94, 126, 169, 255]', 'cut [0.1.2] [y] [350]', 'color [0.1.2.0] [91, 118, 161, 255]', 'color [0.1.2.1] [69, 90, 146, 255]', 'color [0.1.3] [69, 92, 147, 255]'], score=43083.623871856864), Option(cmds=['cut [0] [200, 200]', 'cut [0.0] [x] [100]', 'cut [0.0.0] [x] [50]', 'cut [0.0.0.0] [y] [100]', 'color [0.0.0.0.0] [48, 58, 65, 255]', 'color [0.0.0.0.1] [99, 132, 164, 255]', 'color [0.0.0.1] [30, 35, 32, 255]', 'cut [0.0.1] [y] [100]', 'color [0.0.1.0] [29, 34, 31, 255]', 'cut [0.0.1.1] [y] [150]', 'color [0.0.1.1.0] [74, 95, 114, 255]', 'color [0.0.1.1.1] [150, 168, 169, 255]', 'cut [0.1] [y] [100]', 'cut [0.1.0] [y] [50]', 'color [0.1.0.0] [43, 51, 57, 255]', 'color [0.1.0.1] [54, 73, 95, 255]', 'cut [0.1.1] [y] [150]', 'color [0.1.1.0] [67, 90, 133, 255]', 'color [0.1.1.1] [108, 140, 165, 255]', 'cut [0.2] [y] [300]', 'color [0.2.0] [94, 126, 169, 255]', 'cut [0.2.1] [y] [350]', 'color [0.2.1.0] [91, 118, 161, 255]', 'color [0.2.1.1] [69, 90, 146, 255]', 'cut [0.3] [100, 300]', 'cut [0.3.0] [x] [50]', 'color [0.3.0.0] [117, 147, 174, 255]', 'color [0.3.0.1] [47, 55, 53, 255]', 'color [0.3.1] [98, 130, 166, 255]', 'color [0.3.2] [78, 103, 151, 255]', 'color [0.3.3] [63, 85, 145, 255]'], score=42932.33683823822)]
0 best option = Option(cmds=['cut [0] [200, 200]', 'cut [0.0] [x] [100]', 'cut [0.0.0] [x] [50]', 'cut [0.0.0.0] [y] [100]', 'color [0.0.0.0.0] [48, 58, 65, 255]', 'color [0.0.0.0.1] [99, 132, 164, 255]', 'color [0.0.0.1] [30, 35, 32, 255]', 'cut [0.0.1] [y] [100]', 'color [0.0.1.0] [29, 34, 31, 255]', 'cut [0.0.1.1] [y] [150]', 'color [0.0.1.1.0] [74, 95, 114, 255]', 'color [0.0.1.1.1] [150, 168, 169, 255]', 'cut [0.1] [y] [100]', 'cut [0.1.0] [y] [50]', 'color [0.1.0.0] [43, 51, 57, 255]', 'color [0.1.0.1] [54, 73, 95, 255]', 'cut [0.1.1] [y] [150]', 'color [0.1.1.0] [67, 90, 133, 255]', 'color [0.1.1.1] [108, 140, 165, 255]', 'cut [0.2] [y] [300]', 'color [0.2.0] [94, 126, 169, 255]', 'cut [0.2.1] [y] [350]', 'color [0.2.1.0] [91, 118, 161, 255]', 'color [0.2.1.1] [69, 90, 146, 255]', 'cut [0.3] [100, 300]', 'cut [0.3.0] [x] [50]', 'color [0.3.0.0] [117, 147, 174, 255]', 'color [0.3.0.1] [47, 55, 53, 255]', 'color [0.3.1] [98, 130, 166, 255]', 'color [0.3.2] [78, 103, 151, 255]', 'color [0.3.3] [63, 85, 145, 255]'], score=42932.33683823822)
Solution: 42932.33683823822
cut [0] [200, 200]
cut [0.0] [x] [100]
cut [0.0.0] [x] [50]
cut [0.0.0.0] [y] [100]
color [0.0.0.0.0] [48, 58, 65, 255]
color [0.0.0.0.1] [99, 132, 164, 255]
color [0.0.0.1] [30, 35, 32, 255]
cut [0.0.1] [y] [100]
color [0.0.1.0] [29, 34, 31, 255]
cut [0.0.1.1] [y] [150]
color [0.0.1.1.0] [74, 95, 114, 255]
color [0.0.1.1.1] [150, 168, 169, 255]
cut [0.1] [y] [100]
cut [0.1.0] [y] [50]
color [0.1.0.0] [43, 51, 57, 255]
color [0.1.0.1] [54, 73, 95, 255]
cut [0.1.1] [y] [150]
color [0.1.1.0] [67, 90, 133, 255]
color [0.1.1.1] [108, 140, 165, 255]
cut [0.2] [y] [300]
color [0.2.0] [94, 126, 169, 255]
cut [0.2.1] [y] [350]
color [0.2.1.0] [91, 118, 161, 255]
color [0.2.1.1] [69, 90, 146, 255]
cut [0.3] [100, 300]
cut [0.3.0] [x] [50]
color [0.3.0.0] [117, 147, 174, 255]
color [0.3.0.1] [47, 55, 53, 255]
color [0.3.1] [98, 130, 166, 255]
color [0.3.2] [78, 103, 151, 255]
color [0.3.3] [63, 85, 145, 255]
fourdman@mikhails-mbp-2 icfpc-2022 %  cd /Users/fourdman/src/icfpc-2022 ; /usr/bin/env /Library/Frameworks/Python.framework/Versions/3.8/bin/python3 /Users/fourdman/.vscode/extensions/ms-python.python-2022.4.1/pythonFiles/lib/python/debugpy/launcher 56006 -- 
/Users/fourdman/src/icfpc-2022/solver/binar_solver.py 
/Users/fourdman/src/icfpc-2022/solver/binar_solver.py:1: DeprecationWarning: the imp module is deprecated in favour of importlib; see the module's documentation for alternative uses
  import imp
# Solving 1
OPTIONS FOR 0:
* Score: 194616.42536818434 Cmds: []  
* Score: 152015.63112741106 Cmds: ['color [0] [51, 83, 127, 255]']  
* Score: 129522.14296615467 Cmds: ['cut [0] [x] [200]', 'cut [0.0] [100, 200]', 'cut [0.0.0] [y] [100]', 'cut [0.0.0.0] [y] [50]', 'color [0.0.0.0.0] [0, 74, 173, 255]', 'cut [0.0.0.1] [50, 150]', 'color [0.0.0.1.3] [0, 0, 0, 255]', 'cut [0.0.1] [y] [100]', 'cut [0.0.1.0] [y] [50]', 'color [0.0.1.0.0] [0, 74, 173, 255]', 'cut [0.0.1.1] [150, 150]', 'color [0.0.1.1.2] [0, 0, 0, 255]', 'cut [0.0.2] [x] [150]', 'cut [0.0.2.0] [x] [125]', 'color [0.0.2.0.1] [0, 0, 0, 255]', 'cut [0.0.3] [x] [50]', 'cut [0.0.3.1] [x] [75]', 'color [0.0.3.1.0] [0, 0, 0, 255]', 'cut [0.1] [300, 200]', 'cut [0.1.0] [y] [100]', 'cut [0.1.0.0] [y] [50]', 'color [0.1.0.0.0] [0, 74, 173, 255]', 'color [0.1.0.0.1] [11, 11, 11, 255]', 'cut [0.1.0.1] [x] [250]', 'color [0.1.0.1.1] [126, 126, 126, 255]', 'cut [0.1.1] [x] [350]', 'cut [0.1.1.0] [y] [100]', 'color [0.1.1.0.0] [0, 74, 173, 255]', 'color [0.1.1.0.1] [4, 4, 4, 255]', 'color [0.1.1.1] [0, 74, 173, 255]', 'cut [0.1.2] [x] [350]', 'cut [0.1.2.0] [x] [325]', 'color [0.1.2.0.0] [13, 13, 13, 255]', 'color [0.1.2.1] [0, 74, 173, 255]', 'cut [0.1.3] [x] [250]', 'color [0.1.3.0] [4, 4, 4, 255]', 'cut [0.1.3.1] [x] [275]', 'color [0.1.3.1.1] [4, 4, 4, 255]']  
* Score: 129119.26268335884 Cmds: ['cut [0] [y] [200]', 'cut [0.0] [200, 100]', 'cut [0.0.0] [y] [50]', 'color [0.0.0.0] [0, 74, 173, 255]', 'cut [0.0.0.1] [y] [75]', 'color [0.0.0.1.1] [13, 13, 13, 255]', 'cut [0.0.1] [y] [50]', 'color [0.0.1.0] [0, 74, 173, 255]', 'cut [0.0.1.1] [x] [300]', 'color [0.0.1.1.0] [11, 11, 11, 255]', 'color [0.0.1.1.1] [0, 74, 173, 255]', 'cut [0.0.2] [x] [300]', 'cut [0.0.2.0] [x] [250]', 'color [0.0.2.0.1] [126, 126, 126, 255]', 'cut [0.0.2.1] [x] [350]', 'color [0.0.2.1.0] [4, 4, 4, 255]', 'color [0.0.2.1.1] [0, 74, 173, 255]', 'cut [0.0.3] [y] [150]', 'cut [0.0.3.0] [y] [125]', 'color [0.0.3.0.0] [3, 3, 3, 255]', 'color [0.0.3.1] [3, 3, 3, 255]', 'cut [0.1] [200, 300]', 'cut [0.1.0] [y] [250]', 'cut [0.1.0.1] [y] [275]', 'color [0.1.0.1.0] [0, 0, 0, 255]', 'cut [0.1.1] [x] [300]', 'cut [0.1.1.0] [250, 250]', 'color [0.1.1.0.0] [0, 0, 0, 255]', 'cut [0.1.1.1] [x] [350]', 'color [0.1.1.1.1] [0, 74, 173, 255]', 'cut [0.1.2] [x] [300]', 'cut [0.1.2.0] [250, 350]', 'color [0.1.2.0.3] [0, 0, 0, 255]', 'cut [0.1.2.1] [x] [350]', 'color [0.1.2.1.1] [0, 74, 173, 255]', 'cut [0.1.3] [y] [350]', 'cut [0.1.3.0] [y] [325]', 'color [0.1.3.0.1] [0, 0, 0, 255]']  
* Score: 126599.31923467589 Cmds: ['cut [0] [200, 200]', 'cut [0.0] [y] [100]', 'cut [0.0.0] [y] [50]', 'color [0.0.0.0] [0, 74, 173, 255]', 'cut [0.0.0.1] [y] [75]', 'color [0.0.0.1.1] [13, 13, 13, 255]', 'cut [0.0.1] [y] [150]', 'cut [0.0.1.0] [y] [125]', 'color [0.0.1.0.0] [3, 3, 3, 255]', 'color [0.0.1.1] [3, 3, 3, 255]', 'cut [0.1] [300, 100]', 'cut [0.1.0] [y] [50]', 'color [0.1.0.0] [0, 74, 173, 255]', 'cut [0.1.0.1] [y] [75]', 'color [0.1.0.1.0] [0, 0, 0, 255]', 'color [0.1.1] [0, 74, 173, 255]', 'cut [0.1.2] [x] [350]', 'color [0.1.2.0] [4, 4, 4, 255]', 'color [0.1.2.1] [0, 74, 173, 255]', 'cut [0.1.3] [250, 150]', 'cut [0.1.3.0] [y] [125]', 'color [0.1.3.0.1] [0, 0, 0, 255]', 'cut [0.1.3.2] [x] [275]', 'color [0.1.3.2.0] [0, 0, 0, 255]', 'cut [0.2] [x] [300]', 'cut [0.2.0] [x] [250]', 'color [0.2.0.0] [4, 4, 4, 255]', 'cut [0.2.0.1] [x] [275]', 'color [0.2.0.1.1] [4, 4, 4, 255]', 'cut [0.2.1] [x] [350]', 'cut [0.2.1.0] [x] [325]', 'color [0.2.1.0.0] [13, 13, 13, 255]', 'color [0.2.1.1] [0, 74, 173, 255]', 'cut [0.3] [100, 300]', 'cut [0.3.0] [50, 250]', 'cut [0.3.0.1] [x] [75]', 'color [0.3.0.1.0] [0, 0, 0, 255]', 'cut [0.3.0.3] [y] [275]', 'color [0.3.0.3.0] [0, 0, 0, 255]', 'cut [0.3.1] [150, 250]', 'cut [0.3.1.0] [x] [125]', 'color [0.3.1.0.1] [0, 0, 0, 255]', 'cut [0.3.1.2] [y] [275]', 'color [0.3.1.2.0] [0, 0, 0, 255]', 'cut [0.3.2] [150, 350]', 'cut [0.3.2.1] [y] [325]', 'color [0.3.2.1.1] [0, 0, 0, 255]', 'cut [0.3.2.3] [x] [125]', 'color [0.3.2.3.1] [0, 0, 0, 255]', 'cut [0.3.3] [50, 350]', 'cut [0.3.3.0] [y] [325]', 'color [0.3.3.0.1] [0, 0, 0, 255]', 'cut [0.3.3.2] [x] [75]', 'color [0.3.3.2.0] [0, 0, 0, 255]']
# Solving 2
OPTIONS FOR 0:
* Score: 66637.86260932364 Cmds: []  
* Score: 66642.86260932364 Cmds: ['color [0] [255, 255, 255, 255]']  
